Student_ID,Age,Gender,State_of_origin,School_location,Distance_from_home_km,Jamb_score,O_level_credits,Current_cgpa,Cgpa_trend,Attendance_rate,Fee_payment_status,Has_scholarship,Works_part_time,Family_income_bracket,Parent_education_level,Failed_courses_count,Asuu_strike_semesters,Mental_health_support,Course_load,Dropout
STU0001,23,Male,Osun,Urban,114,264,8,3.18,Stable,73.8,Partial,0,0,Middle,Tertiary,0,2,0,22,0
STU0002,18,Female,Osun,Urban,57,285,6,3.73,Stable,100.0,Paid,0,0,Middle,Secondary,0,1,0,17,0
STU0003,20,Female,Rivers,Urban,72,315,8,3.8,Stable,94.5,Paid,1,1,High,Tertiary,0,0,0,24,0
STU0004,19,Female,Enugu,Urban,25,190,6,2.12,Declining,86.2,Paid,0,0,Middle,Secondary,2,0,0,14,0
STU0005,24,Male,Benue,Urban,99,321,8,4.05,Stable,81.0,Paid,0,0,Middle,Primary,0,1,0,21,0
STU0006,19,Male,Kano,Rural,47,314,5,3.59,Improving,100.0,Owing,0,1,Middle,Secondary,0,1,1,16,0
STU0007,20,Male,Anambra,Urban,76,188,5,2.0,Improving,89.8,Partial,0,0,Middle,Secondary,2,0,0,17,0
STU0008,23,Female,Kano,Urban,117,247,6,2.85,Declining,88.4,Paid,0,0,Middle,Secondary,1,0,0,19,0
STU0009,18,Female,Osun,Urban,95,325,5,4.34,Stable,100.0,Owing,1,0,Low,No formal,0,2,0,18,0
STU0010,23,Female,Ogun,Urban,74,256,5,2.82,Stable,67.4,Paid,1,0,High,Secondary,2,1,0,22,0
STU0011,24,Male,Ogun,Urban,42,315,5,3.76,Stable,93.4,Paid,1,0,Middle,Secondary,0,2,0,19,0
STU0012,23,Female,Abuja,Urban,86,290,5,3.25,Improving,73.4,Paid,0,0,High,Tertiary,0,1,1,14,0
STU0013,17,Female,Ogun,Urban,10,302,7,4.31,Improving,100.0,Partial,1,0,Middle,Tertiary,0,0,0,15,0
STU0014,20,Male,Kogi,Urban,112,305,8,3.6,Stable,78.6,Paid,0,0,High,Tertiary,0,0,1,17,0
STU0015,19,Male,Enugu,Urban,99,288,8,4.22,Improving,87.0,Partial,1,0,Middle,Secondary,0,0,0,22,0
STU0016,20,Male,Edo,Rural,27,187,7,2.04,Improving,93.7,Partial,0,0,High,Tertiary,0,1,0,18,0
STU0017,27,Male,Abuja,Urban,69,227,5,1.19,Stable,55.9,Paid,0,1,Middle,Tertiary,2,3,0,20,1
STU0018,28,Male,Anambra,Rural,87,233,8,1.12,Declining,59.8,Partial,0,1,Low,Primary,4,2,1,24,1
STU0019,22,Male,Cross River,Rural,99,284,8,2.93,Stable,73.5,Paid,0,1,Middle,Primary,1,0,0,12,0
STU0020,26,Male,Abuja,Rural,83,221,8,1.39,Improving,54.4,Paid,1,0,Middle,Tertiary,3,3,1,24,0
STU0021,21,Female,Imo,Rural,60,201,6,2.29,Improving,74.6,Paid,0,0,Middle,Primary,1,0,0,19,0
STU0022,20,Male,Edo,Urban,19,316,7,4.03,Improving,90.6,Partial,0,0,Middle,Tertiary,0,1,0,19,0
STU0023,29,Male,Enugu,Urban,238,140,4,1.0,Declining,46.2,Partial,0,0,Low,No formal,2,1,1,17,1
STU0024,25,Male,Abuja,Rural,119,278,6,2.95,Declining,69.4,Partial,0,0,Middle,Secondary,0,2,0,15,0
STU0025,16,Male,Abuja,Urban,25,291,7,3.94,Stable,86.9,Paid,1,0,Middle,Secondary,0,1,1,14,0
STU0026,16,Female,Ogun,Urban,41,247,8,3.53,Improving,100.0,Paid,1,0,High,Primary,0,0,0,22,0
STU0027,24,Male,Plateau,Urban,100,338,6,4.33,Improving,84.3,Partial,0,0,Middle,Secondary,0,0,1,14,0
STU0028,27,Male,Abuja,Rural,125,157,8,1.0,Stable,51.3,Paid,0,0,Middle,Secondary,3,2,0,17,1
STU0029,24,Female,Kaduna,Urban,48,303,6,3.62,Stable,79.4,Paid,0,0,High,Tertiary,0,2,0,24,0
STU0030,17,Male,Kano,Rural,29,301,8,4.2,Stable,96.3,Paid,1,1,Middle,Secondary,0,1,0,19,0
STU0031,21,Female,Anambra,Urban,21,224,5,2.58,Stable,93.1,Paid,1,0,High,Tertiary,1,2,0,18,0
STU0032,21,Male,Osun,Rural,29,282,5,3.34,Improving,78.1,Paid,0,0,High,Secondary,0,1,0,22,0
STU0033,18,Male,Kaduna,Urban,96,370,5,5.0,Declining,100.0,Paid,1,0,Middle,Primary,0,0,0,12,0
STU0034,21,Female,Kaduna,Urban,128,283,7,3.34,Improving,91.4,Paid,0,0,High,Tertiary,0,1,0,22,0
STU0035,21,Female,Lagos,Urban,77,241,5,3.15,Stable,92.9,Paid,1,0,Middle,Secondary,0,2,0,17,0
STU0036,20,Female,Cross River,Urban,105,363,6,5.0,Improving,100.0,Partial,1,0,Middle,Secondary,0,2,0,18,0
STU0037,28,Male,Delta,Urban,154,166,7,1.0,Stable,41.8,Paid,0,0,Middle,Secondary,4,3,0,23,1
STU0038,18,Male,Ogun,Rural,50,246,8,3.24,Declining,100.0,Partial,1,0,Middle,Tertiary,0,2,0,18,0
STU0039,19,Female,Kogi,Urban,119,291,8,3.73,Stable,81.8,Partial,0,0,High,Secondary,0,2,0,20,0
STU0040,21,Male,Kogi,Urban,41,265,8,3.37,Improving,91.1,Paid,1,0,High,Secondary,0,1,1,22,0
STU0041,23,Male,Cross River,Rural,90,208,6,2.27,Stable,74.7,Paid,0,0,High,Tertiary,1,0,0,22,0
STU0042,29,Male,Imo,Rural,185,284,7,1.56,Improving,54.6,Paid,0,1,Middle,No formal,3,1,0,21,1
STU0043,20,Male,Imo,Rural,33,257,6,3.46,Declining,94.5,Partial,1,0,Middle,Secondary,0,1,1,16,0
STU0044,24,Female,Rivers,Rural,98,207,6,2.38,Stable,86.4,Paid,1,0,High,Tertiary,2,0,0,12,0
STU0045,21,Male,Anambra,Urban,93,297,8,3.5,Improving,80.3,Paid,0,0,High,Secondary,0,1,0,13,0
STU0046,21,Female,Niger,Urban,41,303,8,3.99,Improving,92.4,Paid,0,0,Middle,Primary,0,2,0,15,0
STU0047,23,Male,Niger,Rural,103,219,8,2.56,Improving,69.6,Paid,0,0,High,Tertiary,0,1,0,16,0
STU0048,23,Male,Akwa Ibom,Urban,123,263,6,2.83,Declining,98.2,Owing,0,0,Low,No formal,0,1,0,20,1
STU0049,21,Male,Osun,Urban,61,220,7,2.75,Improving,93.4,Owing,0,0,Low,Primary,2,0,0,22,0
STU0050,20,Male,Akwa Ibom,Urban,32,218,6,2.25,Improving,90.4,Partial,1,1,Middle,Secondary,0,0,1,12,0
STU0051,19,Female,Osun,Rural,114,264,7,3.25,Declining,83.8,Paid,1,0,Middle,Secondary,0,1,0,14,0
STU0052,21,Female,Niger,Urban,119,317,8,3.88,Improving,74.5,Paid,0,0,Middle,Secondary,0,1,0,16,0
STU0053,21,Female,Plateau,Urban,59,248,6,2.45,Improving,80.6,Paid,0,1,High,Tertiary,1,1,0,14,0
STU0054,23,Female,Rivers,Urban,84,244,8,2.56,Declining,77.9,Paid,0,0,Low,Secondary,0,1,1,15,0
STU0055,25,Female,Ogun,Urban,165,171,6,1.0,Stable,71.8,Owing,0,0,Low,Secondary,3,2,0,14,1
STU0056,16,Female,Anambra,Urban,18,370,7,5.0,Stable,100.0,Paid,0,0,High,Tertiary,0,1,1,15,0
STU0057,20,Male,Akwa Ibom,Urban,58,321,6,3.96,Stable,98.8,Paid,0,0,High,Tertiary,0,0,1,24,0
STU0058,21,Male,Kwara,Urban,111,253,6,3.47,Improving,80.7,Paid,1,0,High,Tertiary,0,2,0,24,0
STU0059,23,Male,Osun,Rural,98,237,6,2.85,Improving,82.0,Partial,1,0,Middle,Secondary,2,2,0,12,0
STU0060,25,Male,Abuja,Rural,115,177,6,1.18,Stable,74.8,Paid,0,1,High,Tertiary,2,1,0,23,1
STU0061,28,Male,Akwa Ibom,Rural,92,224,5,1.23,Stable,63.6,Owing,0,0,Low,No formal,2,1,0,19,1
STU0062,24,Male,Abuja,Urban,139,170,5,1.23,Stable,66.6,Paid,0,0,Middle,Secondary,2,3,0,15,1
